clf__n_estimators,clf__learning_rate,clf__max_depth,clf__min_samples_split,clf__min_samples_leaf,mean_score,std_score
200,0.03,2,2,1,0.8679425837320573,0.019750973627320846
200,0.03,2,2,2,0.8679425837320573,0.017010898406345634
200,0.03,2,5,1,0.8688995215311005,0.019281762372832415
200,0.03,2,5,2,0.8679425837320573,0.017010898406345634
200,0.03,3,2,1,0.8736842105263157,0.024322038329452324
200,0.03,3,2,2,0.876555023923445,0.021052631578947354
200,0.03,3,5,1,0.8708133971291865,0.024397222553075536
200,0.03,3,5,2,0.8727272727272728,0.018555712372885447
200,0.03,4,2,1,0.8631578947368421,0.024322038329452293
200,0.03,4,2,2,0.8622009569377991,0.025748562769519052
200,0.03,4,5,1,0.8612440191387559,0.02513669959150945
200,0.03,4,5,2,0.8641148325358852,0.026828412954786936
200,0.05,2,2,1,0.8660287081339713,0.02324393837605955
200,0.05,2,2,2,0.8660287081339713,0.024953884804603442
200,0.05,2,5,1,0.8650717703349283,0.023711984102131798
200,0.05,2,5,2,0.8660287081339713,0.024953884804603442
200,0.05,3,2,1,0.8698564593301435,0.021905307449300672
200,0.05,3,2,2,0.8698564593301434,0.023904298558462787
200,0.05,3,5,1,0.8708133971291865,0.024397222553075536
200,0.05,3,5,2,0.8708133971291867,0.019843484548638966
200,0.05,4,2,1,0.8660287081339713,0.024208824192676608
200,0.05,4,2,2,0.8679425837320573,0.031824476838882065
200,0.05,4,5,1,0.8650717703349281,0.025748562769519052
200,0.05,4,5,2,0.8641148325358851,0.030949208858940147
200,0.1,2,2,1,0.8660287081339714,0.026553946268921727
200,0.1,2,2,2,0.8622009569377992,0.02592577451510825
200,0.1,2,5,1,0.8650717703349283,0.02662282821673407
200,0.1,2,5,2,0.8622009569377991,0.02312544683941546
200,0.1,3,2,1,0.8660287081339713,0.023046114026396752
200,0.1,3,2,2,0.8631578947368421,0.022766272255254207
200,0.1,3,5,1,0.8622009569377991,0.024843550211956285
200,0.1,3,5,2,0.8688995215311005,0.024322038329452334
200,0.1,4,2,1,0.8631578947368421,0.028322772415212888
200,0.1,4,2,2,0.8602870813397129,0.02390429855846278
200,0.1,4,5,1,0.8593301435406697,0.02506373369130868
200,0.1,4,5,2,0.8593301435406699,0.02215471177567506
300,0.03,2,2,1,0.8679425837320573,0.022766272255254193
300,0.03,2,2,2,0.8660287081339713,0.025136699591509475
300,0.03,2,5,1,0.8679425837320573,0.022766272255254193
300,0.03,2,5,2,0.8660287081339713,0.025136699591509475
300,0.03,3,2,1,0.876555023923445,0.0271338696244169
300,0.03,3,2,2,0.8736842105263157,0.026484885173393403
300,0.03,3,5,1,0.8736842105263157,0.02783356855932817
300,0.03,3,5,2,0.8708133971291867,0.029182680731056274
300,0.03,4,2,1,0.8602870813397129,0.02627661285693008
300,0.03,4,2,2,0.8669856459330143,0.0300179658207811
300,0.03,4,5,1,0.8641148325358852,0.025426469388682118
300,0.03,4,5,2,0.8641148325358852,0.02469567062308886
300,0.05,2,2,1,0.8641148325358852,0.02665720244437151
300,0.05,2,2,2,0.8660287081339714,0.025855035571495273
300,0.05,2,5,1,0.8660287081339713,0.025498397309998495
300,0.05,2,5,2,0.8669856459330143,0.024095078109118033
300,0.05,3,2,1,0.8688995215311006,0.018307298057137798
300,0.05,3,2,2,0.8698564593301435,0.024843550211956313
300,0.05,3,5,1,0.8669856459330143,0.022523640757779573
300,0.05,3,5,2,0.8688995215311005,0.023942576082673313
300,0.05,4,2,1,0.8650717703349283,0.0316513596335717
300,0.05,4,2,2,0.8602870813397129,0.028128111878849896
300,0.05,4,5,1,0.8612440191387559,0.027066288275083134
300,0.05,4,5,2,0.8602870813397129,0.034951162426315185
300,0.1,2,2,1,0.8631578947368421,0.03391396200319494
300,0.1,2,2,2,0.8564593301435407,0.03144818511991386
300,0.1,2,5,1,0.8574162679425837,0.027800648892505168
300,0.1,2,5,2,0.8593301435406697,0.02613684264832088
300,0.1,3,2,1,0.8602870813397129,0.017748552144489397
300,0.1,3,2,2,0.8583732057416269,0.018307298057137805
300,0.1,3,5,1,0.8507177033492823,0.018004677246150017
300,0.1,3,5,2,0.8631578947368421,0.019281762372832415
300,0.1,4,2,1,0.8622009569377991,0.02484355021195629
300,0.1,4,2,2,0.8631578947368421,0.025426469388682153
300,0.1,4,5,1,0.8602870813397129,0.020613071032093793
300,0.1,4,5,2,0.8612440191387559,0.02324393837605955
500,0.03,2,2,1,0.8650717703349281,0.02796485970565062
500,0.03,2,2,2,0.8669856459330145,0.026622828216734052
500,0.03,2,5,1,0.8669856459330143,0.028128111878849876
500,0.03,2,5,2,0.8679425837320573,0.024880382775119624
500,0.03,3,2,1,0.8679425837320573,0.021096083909137427
500,0.03,3,2,2,0.8708133971291867,0.024208824192676608
500,0.03,3,5,1,0.8650717703349283,0.02148320030683605
500,0.03,3,5,2,0.8688995215311005,0.024322038329452334
500,0.03,4,2,1,0.8602870813397129,0.029865045998712418
500,0.03,4,2,2,0.8631578947368421,0.03035167756393053
500,0.03,4,5,1,0.8612440191387559,0.0290253605513935
500,0.03,4,5,2,0.8650717703349283,0.027302091134329364
500,0.05,2,2,1,0.8631578947368421,0.02596107170574264
500,0.05,2,2,2,0.8612440191387559,0.02655394626892173
500,0.05,2,5,1,0.8660287081339714,0.02638095454945496
500,0.05,2,5,2,0.8602870813397129,0.030472121202087397
500,0.05,3,2,1,0.8612440191387559,0.017902666922363367
500,0.05,3,2,2,0.8650717703349283,0.01993556617799012
500,0.05,3,5,1,0.8631578947368421,0.022766272255254207
500,0.05,3,5,2,0.8631578947368421,0.022360423819230483
500,0.05,4,2,1,0.8622009569377991,0.02484355021195629
500,0.05,4,2,2,0.8593301435406697,0.027502598781243833
500,0.05,4,5,1,0.8574162679425837,0.020613071032093776
500,0.05,4,5,2,0.8593301435406699,0.026136842648320897
500,0.1,2,2,1,0.8631578947368421,0.031243689411128248
500,0.1,2,2,2,0.8535885167464116,0.029119854650149178
500,0.1,2,5,1,0.8564593301435407,0.03041195900874777
500,0.1,2,5,2,0.8507177033492823,0.028612280167896756
500,0.1,3,2,1,0.8545454545454545,0.017800071997835683
500,0.1,3,2,2,0.8507177033492823,0.011077355887837528
500,0.1,3,5,1,0.8545454545454547,0.018800844693194717
500,0.1,3,5,2,0.8593301435406697,0.017800071997835676
500,0.1,4,2,1,0.8583732057416269,0.021947071657760206
500,0.1,4,2,2,0.8564593301435407,0.023046114026396728
500,0.1,4,5,1,0.8583732057416269,0.02276627225525421
500,0.1,4,5,2,0.8564593301435407,0.022237224954300954
